Order_ID,Customer_Name,Email,City,Product,Quantity,Unit_Price,Order_Date,Status,Age,Order_Value
44901.0,Rohan Mehta,rohan@example.com,Bengaluru,Orion-2,1,499.99,2024-10-01,Processing,40.0,499.99
44902.0,Priya Sharma,priya@example.com,Bengaluru,Nexus-X,2,750.0,2024-02-05,Cancelled,25.0,1500.0
44904.0,Kabir Khan,kabir@example.com,Bengaluru,Orion-1,2,1499.97,2024-10-03,Shipped,32.0,2999.94
44905.0,Kabir Khan,kabir@example.com,Mumbai,Nexus-Y,2,499.99,2024-10-07,Shipped,32.0,999.98
44906.0,Ananya Reddy,ananya@example.com,Puducherry,Orion-2,2,750.0,2024-10-26,Shipped,32.0,1500.0
44907.0,Ananya Reddy,ananya@example.com,Mumbai,Nexus-X,5,1299.0,2024-09-10,Delivered,32.0,6495.0
44908.0,Arjun Singh,arjun@example.com,Puducherry,Orion-2,3,299.5,2024-03-18,Processing,40.0,898.5
44909.0,Kabir Khan,kabir@example.com,Mumbai,Orion-1,2,1299.0,2024-09-11,Processing,29.0,2598.0
44910.0,Neha  Gupta,neha@example.com,Bengaluru,Nexus-X,5,750.0,2024-10-22,Cancelled,32.0,3750.0
44911.0,Arjun Singh,arjun@example.com,Puducherry,Orion-1,3,1299.0,2024-02-29,Delivered,32.0,3897.0
44912.0,Ananya Reddy,ananya@example.com,Mumbai,Orion-2,2,750.0,2024-02-11,Delivered,32.0,1500.0
44913.0,Neha  Gupta,neha@example.com,Puducherry,Orion-1,2,299.5,2024-07-13,Shipped,32.0,599.0
44914.0,Priya Sharma,priya@example.com,Mumbai,Nexus-X,2,1299.0,2024-04-03,Shipped,32.0,2598.0
44915.0,Kabir Khan,kabir@example.com,Mumbai,Vega-Pro,2,1499.97,2024-09-20,Cancelled,32.0,2999.94
44916.0,Neha  Gupta,neha@example.com,Puducherry,Nexus-X,2,750.0,2024-07-24,Shipped,32.0,1500.0
44917.0,Priya Sharma,priya@example.com,Bengaluru,Orion-1,1,499.99,2024-01-01,Delivered,25.0,499.99
44918.0,Arjun Singh,arjun@example.com,Mumbai,Vega-Pro,2,1499.97,2024-05-09,Shipped,32.0,2999.94
44919.0,Arjun Singh,arjun@example.com,Puducherry,Orion-2,2,750.0,2024-06-08,Delivered,29.0,1500.0
44920.0,Neha  Gupta,neha@example.com,Bengaluru,Vega-Pro,1,1499.97,2024-09-27,Processing,40.0,1499.97
44921.0,Rohan Mehta,rohan@example.com,Bengaluru,Orion-1,2,1499.97,2024-07-01,Delivered,45.0,2999.94
44922.0,Kabir Khan,kabir@example.com,Mumbai,Nexus-Y,2,750.0,2024-04-26,Delivered,25.0,1500.0
44923.0,Arjun Singh,arjun@example.com,Mumbai,Orion-2,5,1499.97,2024-06-25,Delivered,32.0,7499.85
44924.0,Arjun Singh,arjun@example.com,Mumbai,Nexus-X,4,750.0,2024-04-10,Processing,32.0,3000.0
44925.0,Ananya Reddy,ananya@example.com,Mumbai,Nexus-X,2,750.0,2024-04-12,Cancelled,32.0,1500.0
44926.0,Arjun Singh,arjun@example.com,Puducherry,Orion-2,2,750.0,2024-02-13,Shipped,25.0,1500.0
44927.0,Priya Sharma,priya@example.com,Mumbai,Orion-2,3,1299.0,2024-08-30,Shipped,25.0,3897.0
44929.0,Kabir Khan,kabir@example.com,Mumbai,Vega-Pro,2,299.5,2024-10-05,Processing,32.0,599.0
44930.0,Neha  Gupta,neha@example.com,Mumbai,Vega-Pro,2,1299.0,2024-03-07,Processing,32.0,2598.0
44931.0,Priya Sharma,priya@example.com,Mumbai,Nexus-X,3,1499.97,2024-03-13,Processing,40.0,4499.91
44932.0,Arjun Singh,arjun@example.com,Mumbai,Vega-Pro,2,499.99,2024-10-13,Delivered,25.0,999.98
44933.0,Arjun Singh,arjun@example.com,Puducherry,Orion-2,1,499.99,2024-08-14,Shipped,29.0,499.99
44934.0,Neha  Gupta,neha@example.com,Puducherry,Vega-Pro,2,1299.0,2024-05-06,Shipped,32.0,2598.0
44935.0,Priya Sharma,priya@example.com,Puducherry,Nexus-X,2,750.0,2024-06-10,Cancelled,32.0,1500.0
44936.0,Priya Sharma,priya@example.com,Mumbai,Nexus-X,3,750.0,2024-07-06,Shipped,32.0,2250.0
44937.0,Priya Sharma,priya@example.com,Bengaluru,Orion-2,2,1499.97,2024-04-24,Cancelled,32.0,2999.94
44938.0,Neha  Gupta,neha@example.com,Mumbai,Orion-1,2,499.99,2024-07-06,Shipped,32.0,999.98
44939.0,Ananya Reddy,ananya@example.com,Bengaluru,Orion-2,2,1299.0,2024-05-31,Shipped,32.0,2598.0
44940.0,Arjun Singh,arjun@example.com,Mumbai,Orion-1,1,1499.97,2024-05-18,Delivered,32.0,1499.97
44941.0,Priya Sharma,priya@example.com,Puducherry,Vega-Pro,2,750.0,2024-06-16,Shipped,32.0,1500.0
44942.0,Arjun Singh,arjun@example.com,Mumbai,Nexus-X,2,299.5,2024-02-12,Processing,32.0,599.0
44943.0,Arjun Singh,arjun@example.com,Mumbai,Vega-Pro,2,299.5,2024-03-07,Shipped,32.0,599.0
44944.0,Priya Sharma,priya@example.com,Mumbai,Nexus-X,3,1499.97,2024-06-08,Shipped,29.0,4499.91
44946.0,Kabir Khan,kabir@example.com,Mumbai,Vega-Pro,2,1499.97,2024-08-16,Cancelled,32.0,2999.94
44947.0,Kabir Khan,kabir@example.com,Puducherry,Vega-Pro,5,750.0,2024-04-20,Shipped,32.0,3750.0
44948.0,Rohan Mehta,rohan@example.com,Bengaluru,Nexus-Y,1,499.99,2024-05-10,Processing,32.0,499.99
44949.0,Kabir Khan,kabir@example.com,Mumbai,Vega-Pro,4,750.0,2024-05-30,Shipped,29.0,3000.0
44950.0,Neha  Gupta,neha@example.com,Bengaluru,Orion-1,2,299.5,2024-10-07,Delivered,45.0,599.0
44951.0,Rohan Mehta,rohan@example.com,Bengaluru,Nexus-X,2,750.0,2024-02-12,Shipped,45.0,1500.0
44952.0,Kabir Khan,kabir@example.com,Bengaluru,Nexus-X,5,499.99,2024-03-14,Cancelled,25.0,2499.95
44953.0,Rohan Mehta,rohan@example.com,Mumbai,Nexus-Y,2,1299.0,2024-09-27,Cancelled,32.0,2598.0
44954.0,Ananya Reddy,ananya@example.com,Puducherry,Nexus-Y,5,750.0,2024-03-15,Cancelled,40.0,3750.0
44955.0,Priya Sharma,priya@example.com,Puducherry,Vega-Pro,1,750.0,2024-10-26,Processing,32.0,750.0
44956.0,Ananya Reddy,ananya@example.com,Mumbai,Nexus-X,2,750.0,2024-10-12,Shipped,32.0,1500.0
44957.0,Rohan Mehta,rohan@example.com,Bengaluru,Orion-2,2,750.0,2024-09-14,Processing,32.0,1500.0
44958.0,Rohan Mehta,rohan@example.com,Bengaluru,Orion-1,4,750.0,2024-04-15,Shipped,32.0,3000.0
44959.0,Neha  Gupta,neha@example.com,Bengaluru,Orion-2,5,499.99,2024-04-11,Delivered,29.0,2499.95
44960.0,Ananya Reddy,ananya@example.com,Mumbai,Vega-Pro,3,499.99,2024-09-03,Processing,45.0,1499.97
44961.0,Ananya Reddy,ananya@example.com,Puducherry,Orion-1,5,750.0,2024-08-26,Shipped,29.0,3750.0
44962.0,Arjun Singh,arjun@example.com,Puducherry,Nexus-X,5,750.0,2024-02-09,Cancelled,45.0,3750.0
44963.0,Priya Sharma,priya@example.com,Bengaluru,Vega-Pro,2,1499.97,2024-09-25,Shipped,40.0,2999.94
44965.0,Ananya Reddy,ananya@example.com,Puducherry,Orion-2,5,750.0,2024-03-13,Delivered,32.0,3750.0
44966.0,Rohan Mehta,rohan@example.com,Bengaluru,Orion-1,2,750.0,2024-03-02,Delivered,29.0,1500.0
44967.0,Rohan Mehta,rohan@example.com,Bengaluru,Orion-2,2,1299.0,2024-02-09,Delivered,25.0,2598.0
44968.0,Rohan Mehta,rohan@example.com,Bengaluru,Nexus-X,5,750.0,2024-03-17,Cancelled,40.0,3750.0
44969.0,Rohan Mehta,rohan@example.com,Mumbai,Orion-1,2,499.99,2024-07-23,Processing,32.0,999.98
44970.0,Neha  Gupta,neha@example.com,Mumbai,Nexus-Y,5,750.0,2024-01-26,Cancelled,32.0,3750.0
44971.0,Rohan Mehta,rohan@example.com,Mumbai,Orion-1,5,750.0,2024-05-02,Cancelled,32.0,3750.0
44972.0,Priya Sharma,priya@example.com,Bengaluru,Nexus-X,4,1299.0,2024-09-11,Delivered,32.0,5196.0
44973.0,Neha  Gupta,neha@example.com,Bengaluru,Vega-Pro,4,1499.97,2024-02-16,Processing,32.0,5999.88
44974.0,Priya Sharma,priya@example.com,Mumbai,Orion-1,4,499.99,2024-07-30,Shipped,32.0,1999.96
44975.0,Rohan Mehta,rohan@example.com,Mumbai,Nexus-X,2,299.5,2024-10-21,Shipped,32.0,599.0
44976.0,Rohan Mehta,rohan@example.com,Mumbai,Orion-2,2,750.0,2024-08-16,Processing,32.0,1500.0
44977.0,Arjun Singh,arjun@example.com,Puducherry,Orion-2,2,499.99,2024-02-07,Shipped,32.0,999.98
44978.0,Priya Sharma,priya@example.com,Bengaluru,Nexus-Y,3,1499.97,2024-09-24,Shipped,32.0,4499.91
44979.0,Kabir Khan,kabir@example.com,Bengaluru,Nexus-X,3,1499.97,2024-10-18,Delivered,32.0,4499.91
44980.0,Ananya Reddy,ananya@example.com,Mumbai,Vega-Pro,2,750.0,2024-02-27,Shipped,32.0,1500.0
44981.0,Rohan Mehta,rohan@example.com,Mumbai,Vega-Pro,1,499.99,2024-10-02,Delivered,32.0,499.99
44982.0,Ananya Reddy,ananya@example.com,Mumbai,Orion-2,4,1299.0,2024-05-06,Delivered,25.0,5196.0
44983.0,Arjun Singh,arjun@example.com,Mumbai,Orion-2,2,499.99,2024-05-11,Delivered,45.0,999.98
44985.0,Arjun Singh,arjun@example.com,Mumbai,Orion-2,4,299.5,2024-04-09,Delivered,29.0,1198.0
44986.0,Arjun Singh,arjun@example.com,Mumbai,Orion-2,3,1499.97,2024-09-05,Processing,32.0,4499.91
44987.0,Neha  Gupta,neha@example.com,Bengaluru,Nexus-Y,1,1299.0,2024-03-13,Processing,32.0,1299.0
44988.0,Neha  Gupta,neha@example.com,Puducherry,Orion-1,2,499.99,2024-03-25,Shipped,25.0,999.98
44990.0,Rohan Mehta,rohan@example.com,Puducherry,Nexus-X,4,750.0,2024-07-01,Cancelled,32.0,3000.0
44991.0,Arjun Singh,arjun@example.com,Puducherry,Nexus-Y,2,1299.0,2024-08-16,Shipped,25.0,2598.0
44992.0,Ananya Reddy,ananya@example.com,Puducherry,Nexus-Y,2,499.99,2024-07-11,Processing,29.0,999.98
44993.0,Priya Sharma,priya@example.com,Bengaluru,Vega-Pro,2,299.5,2024-05-19,Processing,29.0,599.0
44994.0,Ananya Reddy,ananya@example.com,Mumbai,Orion-1,5,499.99,2024-02-03,Processing,32.0,2499.95
44995.0,Ananya Reddy,ananya@example.com,Puducherry,Orion-2,5,750.0,2024-09-09,Shipped,25.0,3750.0
44996.0,Ananya Reddy,ananya@example.com,Mumbai,Nexus-Y,4,299.5,2024-06-12,Processing,40.0,1198.0
44997.0,Priya Sharma,priya@example.com,Puducherry,Nexus-Y,4,750.0,2024-02-03,Delivered,32.0,3000.0
44998.0,Neha  Gupta,neha@example.com,Bengaluru,Nexus-X,5,1299.0,2024-02-13,Shipped,32.0,6495.0
44999.0,Priya Sharma,priya@example.com,Mumbai,Nexus-Y,2,750.0,2024-04-30,Delivered,29.0,1500.0
45000.0,Rohan Mehta,rohan@example.com,Mumbai,Orion-1,2,299.5,2024-05-13,Shipped,45.0,599.0
45001.0,Priya Sharma,priya@example.com,Bengaluru,Orion-1,4,299.5,2024-02-03,Shipped,40.0,1198.0
45002.0,Kabir Khan,kabir@example.com,Mumbai,Nexus-X,2,499.99,2024-02-22,Shipped,32.0,999.98
45003.0,Rohan Mehta,rohan@example.com,Bengaluru,Orion-1,4,499.99,2024-01-26,Shipped,32.0,1999.96
